Bold Summand,Fermat Summand,m,Structure,Generators
,4+16,"1,114,129","Z16 x Z65,536",
0,4+16,"2,228,258","Z16 x Z65,536",
1,1+2+16,"3,932,220","(Z2)^2 x Z4 x Z65,536",
2,2+16,"2,621,480","(Z2)^2 x Z4 x Z65,536",
3,1+16,"3,145,776","(Z2)^2 x Z4 x Z65,536",
4,16,"2,079,184","Z2 x Z8 x Z65,536",
5,1+2+4+8,"4,194,240",(Z2)^2 x Z4 x (Z16)^2 x Z256,
6,2+4+8,"2,796,160",Z2 x Z4 x Z16 x Z32 x Z256,
7,1+4+8,"3,355,392",(Z2)^2 x Z16 x Z64 x Z256,
8,4+8,"2,236,928",Z2 x Z16 x Z128 x Z256,
9,1+2+8,"3,947,520",(Z2)^2 x Z4 x (Z256)^2,
10,2+8,"2,631,680",Z2 x Z4 x Z256 x Z512,
11,1+8,"3,158,016",(Z2)^2 x Z256 x Z1024,
12,8,"2,105,344",Z2 x Z256 x Z2048,
13,1+2+4,"4,177,920",(Z2)^2 x Z4 x Z16 x Z4096,
14,2+4,"2,785,280",Z2 x Z4 x Z16 x Z8192,
15,1+4,"3,342,336","(Z2)^2 x Z4 x Z16,384",
16,4,"2,228,224","Z2 x Z16 x Z32,768",
17,1+2,"3,932,160","(Z2)^2 x Z4 x Z65,536",
18,2,"2,621,440","Z2 x Z4 x Z131,072",
19,1,"3,145,728","(Z2)^2 x Z262,072",
20,,"2,097,152","Z2 x Z524,288",
