Bold Summand,Fermat Summand,m,Structure
,1+16,"196,611","Z2 x Z65,536"
0,1+16,"393,222","Z2 x Z65,536"
1,16,"262,148","Z2 x Z65,536"
2,1+2+4+8,"524,280",(Z2)^3 x Z4 x Z16 x Z256 
3,2+4+8,"349,520",Z2 x (Z4)^2 x Z16 x Z256 
4,1+4+8,"419,424",(Z2)^2 x Z8 x Z16 x Z256 
5,4+8,"279,616",Z2 x (Z16)^2 x Z256
6,1+2+8,"493,440",(Z2)^2 x Z4 x Z32 xZ256 
7,2+8,"328,960",Z2 x Z4 x Z64 x Z256  
8,1+8,"394,752",(Z2)^2 x Z128 x Z256 
9,8,"263,168",Z2 x (Z256)^2
10,1+2+4,"522,240",(Z2)^2 x Z4 x Z16 x Z512 
11,2+4,"348,160",Z2 x Z4 x Z16 x Z1024
12,1+4,"417,792",(Z2)^2 x Z16 x Z2048 
13,4,"278,528",Z2 x Z16 x Z4096
14,1+2,"491,520",(Z2)^2 x Z4 x Z8192
15,2,"327,680","Z2 x Z4 x Z16,384"
16,1,"393,216","(Z2)^2 x Z32,768"
17,,"262,144","Z2 x Z65,536"
