Bold Summand,Fermat Summand,m,Structure,Generators
,1+2+4+8,"65,535",Z2 x Z4 x Z16 x Z256 ,"< 12851, 1543, 193, 7 >"
0,1+2+4+8,"131,070",Z2 x Z4 x Z16 x Z256 ,"< 12851, 1543, 193, 7 >"
1,2+4+8,"87,380",Z2 x Z4 x Z16 x Z256 ,"< 12851, 273, 193, 3 >"
2,1+4+8,"104,856",(Z2)^3 x Z16 x Z256 ,"< 17477, 12851, 4625, 193, 5 >"
3,4+8,"69,904",Z2 x Z4 x Z16 x Z256 ,"< 26215, 8739, 513, 5 >"
4,1+2+8,"123,360",(Z2)^2 x Z4 x Z8 x Z256,"< 1541, 3599, 4111, 1027, 7 >"
5,2+8,"82,240",Z2 x Z4 x Z16 x Z256 ,"< 7711, 513, 787, 3 >"
6,1+8,"98,688",(Z2)^2 x Z32 x Z256 ,"< 16447, 15935, 515, 5 >"
7,8,"68,792",Z2 x Z64 x Z256 ,"< 32383, 3085, 3 >"
8,1+2+4,"130,560",(Z2)^2 x Z4 x Z16 x Z128,"< 4351, 511, 2177, 31, 13 >"
9,2+4,"87,040",Z2 x Z4 x Z16 x Z256 ,"< 511, 8193, 63, 3 >"
10,1+4,"104,448",(Z2)^2 x Z16 x Z512 ,"< 17407, 9125, 3329, 5 >"
11,4,"69,632",Z2 x Z16 x Z1024,"< 26623, 2817, 3 >"
12,1+2,"122,880",(Z2)^2 x Z4 x Z2048,"< 40961, 8191, 4097, 11 >"
13,2,"81,920",Z2 x Z4 x Z4096 ,"< 8191, 8193, 3 >"
14,1,"98,304",(Z2)^2 x Z8192,"< 32767, 16385, 5 >"
15,,"65,536","Z2 x Z16,384 ","< 32767, 3 >"
