Bold Summand,Fermat Summand,m,Structure,Generators
,2+4+8,"21,845",Z4 x Z16 x Z256,"< 273, 193,  3 >"
0,2+4+8,"43,690",Z4 x Z16 x Z256,"< 4113, 193, 3 >"
1,1+4+8,"52,428",(Z2)^2 x Z16 x Z256,"< 12851, 4625, 193, 5 >"
2,4+8,"34,952",(Z2)^2 x Z16 x Z256,"< 17477, 8739, 513, 5 >"
3,1+2+8,"61,680",(Z2)^2 x Z16 x Z256,"< 4111, 3599, 1304, 1027, 7 >"
4,2+8,"41,120",Z2 x Z4 x Z8 x Z256,"< 3599, 1783, 787, 3 >"
5,1+8,"49,344",(Z2)^2 x Z16 x Z256,"< 8225, 7711, 515, 5 >"
6,8,"32,896",Z2 x Z32 x Z256,"< 15935, 3085, 3 >"
7,1+2+4,"65,280",(Z2)^2 x Z4 x Z16 x Z64,"< 21761, 511, 4033, 31, 13 >"
8,2+4,"43,520",Z2 x Z4 x Z16 x Z64,"< 511, 897, 31, 3 >"
9,1+4,"52,224",(Z2)^2 x Z16 x Z256,"< 8705, 511, 4159, 5 >"
10,4,"34,816",Z2 x Z16 x Z512,"< 9215, 2817, 3 >"
11,1+2,"61,440",(Z2)^2 x Z4 x Z1024,"< 10241, 8191, 2047, 11 >"
12,2,"40,960",Z2 x Z4 x Z2048,"< 8191, 2047, 3 >"
13,1,"49,152",(Z2)^2 x Z4096,"< 16385, 8191, 5 >"
14,,"32,768",Z2 x Z8192,"< 16383, 3 >"
