Bold Summand,Fermat Summand,m,Structure
,1+4+16,"3,342,387","Z2 x Z16 x Z65,536 "
0,1+4+16,"6,684,774","Z2 x Z16 x Z65,536 "
1,4+16,"4,456,516","Z2 x Z16 x Z65,536 "
2,1+2+16,"7,864,440","(Z2)^3 x Z4 x Z65,536 "
3,2+16,"5,242,960","Z2 x (Z4)^2 x Z65,536"
4,1+16,"6,291,552","(Z2)^2 x Z8 x Z65,536 "
5,16,"4,194,368","Z2 x Z16 x Z65,536 "
6,1+2+4+8,"8,388,480",(Z2)^2 x Z4 x Z16 x Z32 x Z256 
7,2+4+8,"5,592,320",Z2 x Z4 x Z16 x Z64 x Z256 
8,1+4+8,"6,710,784",(Z2)^2 x Z16 x Z128 x Z256 
9,4+8,"4,473,856",Z2 x Z16 x (Z256)^2 
10,1+2+8,"7,895,040",(Z2)^2 x Z4 x Z256 x Z512 
11,2+8,"5,263,360",Z2 x Z4 x Z256 x Z1024
12,1+8,"6,316,032",(Z2)^2 x Z256 x Z2048
13,8,"4,210,688",Z2 x Z256 x Z4096 
14,1+2+4,"8,355,840",(Z2)^2 x Z4 x Z16 x Z8192
15,2+4,"5,570,560","Z2 x Z4 x Z16 x Z16,384 "
16,1+4,"6,684,672","(Z2)^2 x Z16 x Z32,768 "
17,4,"4,456,448","Z2 x Z16 x Z65,536 "
18,1+2,"7,864,320","(Z2)^2 x Z4 x Z131,072"
19,2,"5,242,880","Z2 x Z4 x Z262,144 "
20,1,"6,291,456","(Z2)^2 x Z524,288"
21,,"4,194,304","Z2 x Z1,048,576"
