Bold Summand,Fermat Summand,m,Structure
,16,"65,537","Z65,536"
0,16,"131,074","Z65,536"
1,1+2+4+8,"262,140",(Z2)^2 x Z4 x Z16 x Z256
2,2+4+8,"174,760",(Z2)^2 x Z4 x Z16 x Z256
3,1+4+8,"209,712",(Z2)^2 x Z4 x Z16 x Z256
4,4+8,"139,808",Z2 x Z8 x Z16 x Z256
5,1+2+8,"246,720",(Z2)^2 x Z4 x Z16 x Z256
6,2+8,"164,480",Z2 x Z4 x Z32 x Z256
7,1+8,"197,376",(Z2)^2 x Z64 x Z256
8,8,"131,584",Z2 x Z128 x Z256
9,1+2+4,"261,120",(Z2)^2 x Z4 x Z16 x Z256
10,2+4,"174,080",Z2 x Z4 x Z16 x Z512
11,1+4,"208,896",Z2 x Z4 x Z16 x Z1024
12,4,"139,264",Z2 x Z16 x Z2048
13,1+2,"245,760",(Z2)^2 x Z4 x Z4096
14,2,"163,840",Z2 x Z4 x Z8192
15,1,"196,608","(Z2)^ 2 x Z16,384"
16,,"131,072","Z2 x Z32,768"
